#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	Flag
OTU6875	S1	OP3Div3	37.9	30.8	FRAGMENT_LARGE
OTU11681	S1	OP3Div3	38.2	29.8	FRAGMENT_LARGE
OTU12727	S1	OP3Div3	38.1	30.0	FRAGMENT_LARGE
OTU18624	S1	OP3Div3	38.2	30.6	FRAGMENT_LARGE
OTU14391	S1	OP3Div3	35.0	28.2	FRAGMENT_LARGE
OTU20870	S1	OP3Div3	37.0	29.6	FRAGMENT_LARGE
OTU14622	S1	OP3Div3	37.8	30.7	FRAGMENT_LARGE
OTU17161	S1	OP3Div3	37.9	29.9	FRAGMENT_LARGE
OTU7815	S1	OP3Div3	38.8	31.3	FRAGMENT_LARGE
OTU14510	S1	OP3Div3	37.9	30.1	FRAGMENT_LARGE
OTU426	S1	OP3Div3	38.6	30.8	FRAGMENT_LARGE
OTU12391	S1	OP3Div3	37.5	29.6	FRAGMENT_LARGE
OTU18170	S1	OP3Div3	32.0	27.0	FRAGMENT_LARGE
OTU15469	S1	OP3Div3	30.3	26.1	FRAGMENT_LARGE
OTU13585	S1	OP3Div3	37.6	30.7	FRAGMENT_LARGE
OTU2607	S1	OP3Div3	38.9	30.2	FRAGMENT_LARGE
OTU19379	S1	OP3Div3	37.7	28.8	FRAGMENT_LARGE
OTU5590	S1	OP3Div3	38.2	31.5	FRAGMENT_LARGE
OTU15465	S1	OP3Div3	38.2	30.0	FRAGMENT_LARGE
OTU2921	S1	OP3Div3	38.2	30.3	FRAGMENT_LARGE
OTU7834	S1	OP3Div3	38.0	31.0	FRAGMENT_LARGE
OTU14127	S1	OP3Div3	36.6	30.4	FRAGMENT_LARGE
OTU835	S1	OP3Div3	28.3	23.6	FRAGMENT_LARGE
OTU5569	S1	OP3Div3	37.7	31.4	FRAGMENT_LARGE
OTU5258	S1	OP3Div3	36.8	29.4	FRAGMENT_LARGE
OTU20793	S1	OP3Div3	37.4	30.6	FRAGMENT_LARGE
OTU16507	S1	OP3Div3	32.2	27.1	FRAGMENT_LARGE
OTU15231	S1	OP3Div3	38.2	31.2	FRAGMENT_LARGE
OTU10365	S1	OP3Div3	37.9	31.4	FRAGMENT_LARGE
OTU16035	S1	OP3Div3	38.2	31.5	FRAGMENT_LARGE
OTU7712	S1	OP3Div3	38.2	32.0	FRAGMENT_LARGE
OTU19167	S1	OP3Div3	38.2	31.5	FRAGMENT_LARGE
OTU1990	S1	OP3Div3	38.1	31.7	FRAGMENT_LARGE
OTU13380	S1	OP3Div3	37.9	30.3	FRAGMENT_LARGE
OTU19812	S1	OP3Div3	38.1	31.8	FRAGMENT_LARGE
OTU12732	S1	OP3Div3	37.9	31.0	FRAGMENT_LARGE
OTU7120	S1	OP3Div3	37.7	30.3	FRAGMENT_LARGE
OTU7237	S1	OP3Div3	39.2	31.4	FRAGMENT_LARGE
OTU20019	S1	OP3Div3	29.5	25.0	FRAGMENT_LARGE
OTU4669	S1	OP3Div3	37.1	29.6	FRAGMENT_LARGE
OTU6496	S1	OP3Div3	36.7	28.5	FRAGMENT_LARGE
OTU1016	S1	OP3Div3	36.7	28.6	FRAGMENT_LARGE
OTU11064	S1	OP3Div3	37.1	29.3	FRAGMENT_LARGE
OTU8156	S1	OP3Div3	38.0	29.6	FRAGMENT_LARGE
OTU18166	S1	OP3Div3	37.2	28.7	FRAGMENT_LARGE
OTU17246	S1	OP3Div3	38.4	30.3	FRAGMENT_LARGE
OTU13797	S1	OP3Div3	37.0	28.9	FRAGMENT_LARGE
OTU4903	S1	OP3Div3	38.9	30.9	FRAGMENT_LARGE
OTU14759	S1	OP3Div3	32.7	27.4	FRAGMENT_LARGE
OTU3132	S1	OP3Div3	38.3	29.6	FRAGMENT_LARGE
OTU4765	S1	OP3Div3	38.3	30.3	FRAGMENT_LARGE
OTU4047	S1	OP3Div3	37.4	29.3	FRAGMENT_LARGE
OTU6168	S1	OP3Div3	37.5	29.8	FRAGMENT_LARGE
OTU3322	S1	OP3Div3	37.0	29.3	FRAGMENT_LARGE
OTU6636	S1	OP3Div3	37.5	29.6	FRAGMENT_LARGE
OTU10383	S1	OP3Div3	37.4	29.3	FRAGMENT_LARGE
OTU3564	S1	OP3Div3	38.5	30.4	FRAGMENT_LARGE
OTU19754	S1	OP3Div3	36.9	30.8	FRAGMENT_LARGE
OTU2639	S1	OP3Div3	38.5	30.7	FRAGMENT_LARGE
OTU20414	S1	OP3Div3	37.6	30.1	FRAGMENT_LARGE
OTU7618	S1	OP3Div3	29.7	25.5	FRAGMENT_LARGE
OTU21740	S1	OP3Div3	38.5	30.1	FRAGMENT_LARGE
OTU16966	S1	OP3Div3	39.5	32.4	FRAGMENT_LARGE
OTU2036	S1	OP3Div3	39.3	31.4	FRAGMENT_LARGE
OTU13463	S1	OP3Div3	39.4	31.0	FRAGMENT_LARGE
OTU7995	S1	OP3Div3	39.8	32.0	FRAGMENT_LARGE
OTU3687	S1	OP3Div3	39.6	31.5	FRAGMENT_LARGE
OTU19802	S1	OP3Div3	35.7	31.1	FRAGMENT_LARGE
OTU16671	S1	OP3Div3	29.0	24.5	FRAGMENT_LARGE
OTU20368	S1	OP3Div3	39.4	30.8	FRAGMENT_LARGE
OTU19787	S1	OP3Div3	37.8	29.0	FRAGMENT_LARGE
OTU21758	S1	OP3Div3	35.3	29.1	FRAGMENT_LARGE
OTU18041	S1	OP3Div3	37.4	29.4	FRAGMENT_LARGE
OTU8498	S1	OP3Div3	39.1	30.3	FRAGMENT_LARGE
OTU20604	S1	OP3Div3	34.6	27.9	FRAGMENT_LARGE
OTU7265	S1	OP3Div3	38.9	30.0	FRAGMENT_LARGE
OTU11394	S1	OP3Div3	38.6	30.4	FRAGMENT_LARGE
OTU10611	S1	OP3Div3	39.4	31.3	FRAGMENT_LARGE
OTU2904	S1	OP3Div3	38.6	31.0	FRAGMENT_LARGE
OTU3359	S1	OP3Div3	38.5	30.2	FRAGMENT_LARGE
OTU12029	S1	OP3Div3	38.9	30.0	FRAGMENT_LARGE
OTU473	S1	OP3Div3	37.6	29.7	FRAGMENT_LARGE
OTU11313	S1	OP3Div3	37.6	29.7	FRAGMENT_LARGE
OTU255	S1	OP3Div3	29.5	24.8	FRAGMENT_LARGE
OTU16549	S1	OP3Div3	39.4	31.0	FRAGMENT_LARGE
OTU18331	S1	OP3Div3	38.6	30.5	FRAGMENT_LARGE
OTU8050	S1	OP3Div3	39.0	30.3	FRAGMENT_LARGE
OTU3458	S1	OP3Div3	39.7	31.7	FRAGMENT_LARGE
OTU9745	S1	OP3Div3	39.4	31.0	FRAGMENT_LARGE
OTU10072	S1	OP3Div3	39.3	31.0	FRAGMENT_LARGE
OTU16073	S1	OP3Div3	37.9	29.4	FRAGMENT_LARGE
OTU11688	S1	OP3Div3	37.4	29.3	FRAGMENT_LARGE
OTU6883	S1	OP3Div3	38.3	30.0	FRAGMENT_LARGE
OTU8675	S1	OP3Div3	37.6	29.7	FRAGMENT_LARGE
OTU9706	S1	OP3Div3	37.3	28.9	FRAGMENT_LARGE
OTU13552	S1	OP3Div3	37.3	29.2	FRAGMENT_LARGE
OTU8461	S1	OP3Div3	38.5	30.2	FRAGMENT_LARGE
OTU22110	S1	OP3Div3	37.3	29.2	FRAGMENT_LARGE
OTU19337	S1	OP3Div3	39.1	30.5	FRAGMENT_LARGE
OTU12653	S1	OP3Div3	39.1	30.5	FRAGMENT_LARGE
OTU9494	S1	OP3Div3	39.1	30.3	FRAGMENT_LARGE
OTU6056	S1	OP3Div3	39.4	30.7	FRAGMENT_LARGE
OTU1078	S1	OP3Div3	37.6	30.7	FRAGMENT_LARGE
OTU14490	S1	OP3Div3	38.5	30.2	FRAGMENT_LARGE
OTU18500	S1	OP3Div3	37.3	29.2	FRAGMENT_LARGE
OTU20483	S1	OP3Div3	38.2	29.8	FRAGMENT_LARGE
OTU10712	S1	OP3Div3	39.0	30.3	FRAGMENT_LARGE
OTU2646	S1	OP3Div3	39.5	31.5	FRAGMENT_LARGE
OTU18986	S1	OP3Div3	36.7	28.7	FRAGMENT_LARGE
OTU11598	S1	OP3Div3	29.0	24.4	FRAGMENT_LARGE
OTU17042	S1	OP3Div3	39.1	30.3	FRAGMENT_LARGE
OTU11069	S1	OP3Div3	39.2	31.6	FRAGMENT_LARGE
OTU6576	S1	OP3Div3	37.3	28.9	FRAGMENT_LARGE
OTU71	S1	OP3Div3	38.6	30.4	FRAGMENT_LARGE
OTU13704	S1	OP3Div3	38.3	30.0	FRAGMENT_LARGE
OTU19918	S1	OP3Div3	38.3	30.0	FRAGMENT_LARGE
OTU8293	S1	OP3Div3	39.2	30.6	FRAGMENT_LARGE
OTU17385	S1	OP3Div3	39.7	31.7	FRAGMENT_LARGE
OTU7551	S1	OP3Div3	38.4	32.1	FRAGMENT_LARGE
OTU21464	S1	OP3Div3	38.9	31.2	FRAGMENT_LARGE
OTU19132	S1	OP3Div3	38.9	31.0	FRAGMENT_LARGE
OTU21449	S1	OP3Div3	38.2	31.7	FRAGMENT_LARGE
OTU16335	S1	OP3Div3	38.0	29.7	FRAGMENT_LARGE
OTU8736	S1	OP3Div3	37.9	30.8	FRAGMENT_LARGE
OTU16434	S1	OP3Div3	34.7	28.1	FRAGMENT_LARGE
OTU14534	S1	OP3Div3	38.6	31.0	FRAGMENT_LARGE
OTU15174	S1	OP3Div3	38.6	32.1	FRAGMENT_LARGE
OTU29	S1	OP3Div3	36.3	28.5	FRAGMENT_LARGE
OTU14974	S1	OP3Div3	37.9	31.3	FRAGMENT_LARGE
OTU14769	S1	OP3Div3	34.2	27.8	FRAGMENT_LARGE
OTU16425	S1	OP3Div3	37.9	30.6	FRAGMENT_LARGE
OTU8490	S1	OP3Div3	35.6	28.9	FRAGMENT_LARGE
OTU10698	S1	OP3Div3	36.5	29.3	FRAGMENT_LARGE
OTU2267	S1	OP3Div3	38.7	31.7	FRAGMENT_LARGE
OTU6430	S1	OP3Div3	37.2	29.5	FRAGMENT_LARGE
OTU5836	S1	OP3Div3	37.6	29.6	FRAGMENT_LARGE
OTU6715	S1	OP3Div3	37.5	30.3	FRAGMENT_LARGE
OTU12508	S1	OP3Div3	36.8	30.3	FRAGMENT_LARGE
OTU17715	S1	OP3Div3	38.6	30.4	FRAGMENT_LARGE
OTU8770	S1	OP3Div3	37.6	30.7	FRAGMENT_LARGE
OTU584	S1	OP3Div3	37.2	29.2	FRAGMENT_LARGE
OTU18496	S1	OP3Div3	31.4	26.8	FRAGMENT_LARGE
OTU517	S1	OP3Div3	39.1	31.0	FRAGMENT_LARGE
OTU20517	S1	OP3Div3	38.3	30.1	FRAGMENT_LARGE
OTU5609	S1	OP3Div3	37.3	29.6	FRAGMENT_LARGE
OTU20783	S1	OP3Div3	32.5	27.3	FRAGMENT_LARGE
OTU10404	S1	OP3Div3	36.5	28.8	FRAGMENT_LARGE
OTU18333	S1	OP3Div3	37.3	28.9	FRAGMENT_LARGE
OTU5267	S1	OP3Div3	35.4	28.2	FRAGMENT_LARGE
OTU15279	S1	OP3Div3	38.5	30.2	FRAGMENT_LARGE
OTU6462	S1	OP3Div3	38.0	29.1	FRAGMENT_LARGE
OTU11213	S1	OP3Div3	37.9	30.6	FRAGMENT_LARGE
OTU8052	S1	OP3Div3	28.6	23.5	FRAGMENT_LARGE
OTU14205	S1	OP3Div3	37.5	30.5	FRAGMENT_LARGE
OTU10682	S1	OP3Div3	36.0	28.9	FRAGMENT_LARGE
OTU13148	S1	OP3Div3	38.2	32.6	FRAGMENT_LARGE
OTU7200	S1	OP3Div3	24.6	15.6	FRAGMENT_SMALL
OTU6940	S1	OP3Div3	38.8	30.9	FRAGMENT_LARGE
OTU10446	S1	OP3Div3	37.9	29.6	FRAGMENT_LARGE
OTU10114	S1	OP3Div3	38.0	30.5	FRAGMENT_LARGE
OTU21730	S1	OP3Div3	36.8	28.9	FRAGMENT_LARGE
OTU18426	S1	OP3Div3	38.9	30.7	FRAGMENT_LARGE
OTU18279	S1	OP3Div3	30.9	26.2	FRAGMENT_LARGE
OTU11365	S1	OP3Div3	34.4	27.8	FRAGMENT_LARGE
OTU4106	S1	OP3Div3	38.2	29.8	FRAGMENT_LARGE
OTU6732	S1	OP3Div3	37.0	29.1	FRAGMENT_LARGE
OTU20757	S1	OP3Div3	37.1	29.0	FRAGMENT_LARGE
OTU15676	S1	OP3Div3	38.9	30.7	FRAGMENT_LARGE
OTU13501	S1	OP3Div3	39.3	30.4	FRAGMENT_LARGE
OTU5526	S1	OP3Div3	38.2	29.9	FRAGMENT_LARGE
OTU1366	S1	OP3Div3	39.4	30.8	FRAGMENT_LARGE
OTU6294	S1	OP3Div3	37.5	29.7	FRAGMENT_LARGE
OTU13377	S1	OP3Div3	39.4	31.2	FRAGMENT_LARGE
OTU13349	S1	OP3Div3	29.4	24.3	FRAGMENT_LARGE
OTU20441	S1	OP3Div3	39.2	30.7	FRAGMENT_LARGE
OTU9586	S1	OP3Div3	39.2	30.9	FRAGMENT_LARGE
OTU14810	S1	OP3Div3	39.8	32.1	FRAGMENT_LARGE
OTU11907	S1	OP3Div3	39.1	31.2	FRAGMENT_LARGE
OTU1811	S1	OP3Div3	37.9	29.2	FRAGMENT_LARGE
OTU15885	S1	OP3Div3	37.7	30.4	FRAGMENT_LARGE
OTU5775	S1	OP3Div3	37.4	30.0	FRAGMENT_LARGE
OTU14229	S1	OP3Div3	29.5	25.0	FRAGMENT_LARGE
OTU10861	S1	OP3Div3	29.5	24.6	FRAGMENT_LARGE
OTU11189	S1	OP3Div3	37.2	31.1	FRAGMENT_LARGE
OTU21635	S1	OP3Div3	37.3	31.8	FRAGMENT_LARGE
OTU13678	S1	OP3Div3	37.7	31.0	FRAGMENT_LARGE
OTU12517	S1	OP3Div3	30.9	26.6	FRAGMENT_LARGE
OTU11879	S1	OP3Div3	38.6	31.2	FRAGMENT_LARGE
OTU19202	S1	OP3Div3	29.6	25.2	FRAGMENT_LARGE
OTU11851	S1	OP3Div3	37.6	30.3	FRAGMENT_LARGE
OTU20465	S1	OP3Div3	38.2	31.2	FRAGMENT_LARGE
OTU19200	S1	OP3Div3	38.2	31.8	FRAGMENT_LARGE
OTU13905	S1	OP3Div3	38.2	31.4	FRAGMENT_LARGE
OTU4569	S1	OP3Div3	37.9	30.3	FRAGMENT_LARGE
OTU8439	S1	OP3Div3	38.3	31.0	FRAGMENT_LARGE
OTU19852	S1	OP3Div3	29.6	25.2	FRAGMENT_LARGE
OTU1007	S1	OP3Div3	37.4	30.3	FRAGMENT_LARGE
OTU16069	S1	OP3Div3	37.3	31.0	FRAGMENT_LARGE
OTU14538	S1	OP3Div3	36.4	29.0	FRAGMENT_LARGE
OTU15640	S1	OP3Div3	37.9	30.3	FRAGMENT_LARGE
OTU20174	S1	OP3Div3	37.9	30.3	FRAGMENT_LARGE
OTU12713	S1	OP3Div3	29.5	25.0	FRAGMENT_LARGE
OTU7770	S1	OP3Div3	37.9	30.8	FRAGMENT_LARGE
OTU13227	S1	OP3Div3	35.8	28.5	FRAGMENT_LARGE
OTU11316	S1	OP3Div3	31.4	26.8	FRAGMENT_LARGE
OTU580	S1	OP3Div3	37.1	29.8	FRAGMENT_LARGE
OTU13914	S1	OP3Div3	37.6	30.0	FRAGMENT_LARGE
OTU591	S1	OP3Div3	36.3	29.0	FRAGMENT_LARGE
OTU18895	S1	OP3Div3	38.2	31.4	FRAGMENT_LARGE
OTU20655	S1	OP3Div3	35.6	28.6	FRAGMENT_LARGE
OTU10261	S1	OP3Div3	37.8	31.0	FRAGMENT_LARGE
OTU20426	S1	OP3Div3	37.2	29.6	FRAGMENT_LARGE
OTU11507	S1	OP3Div3	37.2	29.6	FRAGMENT_LARGE
OTU12969	S1	OP3Div3	37.8	30.3	FRAGMENT_LARGE
OTU18175	S1	OP3Div3	36.6	29.3	FRAGMENT_LARGE
OTU12798	S1	OP3Div3	36.6	29.3	FRAGMENT_LARGE
OTU6226	S1	OP3Div3	37.7	31.5	FRAGMENT_LARGE
OTU20735	S1	OP3Div3	37.9	31.4	FRAGMENT_LARGE
OTU6082	S1	OP3Div3	29.6	25.2	FRAGMENT_LARGE
OTU19366	S1	OP3Div3	36.6	31.0	FRAGMENT_LARGE
OTU1045	S1	OP3Div3	29.6	25.2	FRAGMENT_LARGE
OTU1255	S1	OP3Div3	27.5	22.2	FRAGMENT_LARGE
OTU9897	S1	OP3Div3	37.8	30.2	FRAGMENT_LARGE
OTU2802	S1	OP3Div3	36.8	30.7	FRAGMENT_LARGE
OTU9042	S1	OP3Div3	37.0	31.4	FRAGMENT_LARGE
OTU15312	S1	OP3Div3	37.4	30.8	FRAGMENT_LARGE
OTU16013	S1	OP3Div3	30.1	25.7	FRAGMENT_LARGE
OTU3197	S1	OP3Div3	38.2	32.0	FRAGMENT_LARGE
OTU17092	S1	OP3Div3	36.7	31.0	FRAGMENT_LARGE
OTU11964	S1	OP3Div3	38.0	31.0	FRAGMENT_LARGE
OTU15076	S1	OP3Div3	38.8	31.0	FRAGMENT_LARGE
OTU7183	S1	OP3Div3	37.2	29.6	FRAGMENT_LARGE
OTU5026	S1	OP3Div3	24.5	16.1	FRAGMENT_SMALL
OTU14693	S1	OP3Div3	36.6	29.3	FRAGMENT_LARGE
OTU20255	S1	OP3Div3	37.7	31.7	FRAGMENT_LARGE
OTU12900	S1	OP3Div3	37.7	31.4	FRAGMENT_LARGE
OTU21332	S1	OP3Div3	37.6	30.6	FRAGMENT_LARGE
OTU9004	S1	OP3Div3	37.0	30.5	FRAGMENT_LARGE
OTU12198	S1	OP3Div3	37.7	31.7	FRAGMENT_LARGE
OTU5976	S1	OP3Div3	29.1	24.8	FRAGMENT_LARGE
OTU21500	S1	OP3Div3	28.8	24.3	FRAGMENT_LARGE
OTU15555	S1	OP3Div3	37.9	30.6	FRAGMENT_LARGE
OTU15367	S1	OP3Div3	38.9	31.5	FRAGMENT_LARGE
OTU19806	S1	OP3Div3	38.5	31.5	FRAGMENT_LARGE
OTU19311	S1	OP3Div3	37.4	29.8	FRAGMENT_LARGE
OTU3566	S1	OP3Div3	36.0	29.1	FRAGMENT_LARGE
OTU20559	S1	OP3Div3	36.1	29.3	FRAGMENT_LARGE
OTU6739	S1	OP3Div3	36.5	30.3	FRAGMENT_LARGE
OTU21168	S1	OP3Div3	36.8	31.4	FRAGMENT_LARGE
OTU21173	S1	OP3Div3	35.7	28.5	FRAGMENT_LARGE
OTU3027	S1	OP3Div3	36.1	28.5	FRAGMENT_LARGE
OTU7288	S1	OP3Div3	38.1	32.4	FRAGMENT_LARGE
OTU15353	S1	OP3Div3	38.6	32.8	FRAGMENT_LARGE
OTU18402	S1	OP3Div3	35.8	28.3	FRAGMENT_LARGE
OTU8834	S1	OP3Div3	38.1	30.9	FRAGMENT_LARGE
OTU9670	S1	OP3Div3	37.8	30.2	FRAGMENT_LARGE
OTU2093	S1	OP3Div3	37.5	29.6	FRAGMENT_LARGE
OTU4563	S1	OP3Div3	28.6	23.6	FRAGMENT_LARGE
OTU5463	S1	OP3Div3	37.1	28.9	FRAGMENT_LARGE
OTU20437	S1	OP3Div3	28.3	24.4	FRAGMENT_LARGE
OTU307	S1	OP3Div3	35.7	28.4	FRAGMENT_LARGE
OTU11225	S1	OP3Div3	38.0	29.2	FRAGMENT_LARGE
OTU18608	S1	OP3Div3	38.0	30.2	FRAGMENT_LARGE
OTU2328	S1	OP3Div3	37.5	31.0	FRAGMENT_LARGE
OTU2014	S1	OP3Div3	37.4	30.7	FRAGMENT_LARGE
OTU10745	S1	OP3Div3	34.9	30.7	FRAGMENT_LARGE
OTU16003	S1	OP3Div3	37.0	29.6	FRAGMENT_LARGE
OTU952	S1	OP3Div3	39.4	31.3	FRAGMENT_LARGE
OTU16351	S1	OP3Div3	39.5	31.6	FRAGMENT_LARGE
OTU5433	S1	OP3Div3	38.1	29.5	FRAGMENT_LARGE
OTU17643	S1	OP3Div3	35.8	28.7	FRAGMENT_LARGE
OTU10024	S1	OP3Div3	35.3	28.2	FRAGMENT_LARGE
OTU13943	S1	OP3Div3	36.2	28.9	FRAGMENT_LARGE
OTU9660	S1	OP3Div3	35.6	30.6	FRAGMENT_LARGE
OTU13819	S1	OP3Div3	35.2	30.3	FRAGMENT_LARGE
OTU16609	S1	OP3Div3	35.0	29.4	FRAGMENT_LARGE
OTU10240	S1	OP3Div3	35.0	29.4	FRAGMENT_LARGE
OTU137	S1	OP3Div3	35.2	30.1	FRAGMENT_LARGE
OTU484	S1	OP3Div3	35.2	29.8	FRAGMENT_LARGE
OTU21859	S1	OP3Div3	35.2	29.6	FRAGMENT_LARGE
OTU1065	S1	OP3Div3	34.9	29.2	FRAGMENT_LARGE
OTU6009	S1	OP3Div3	35.2	30.3	FRAGMENT_LARGE
OTU14419	S1	OP3Div3	35.0	29.4	FRAGMENT_LARGE
OTU2373	S1	OP3Div3	35.2	30.7	FRAGMENT_LARGE
OTU13757	S1	OP3Div3	34.5	28.2	FRAGMENT_LARGE
OTU7766	S1	OP3Div3	35.2	29.8	FRAGMENT_LARGE
OTU3309	S1	OP3Div3	35.2	30.8	FRAGMENT_LARGE
OTU16353	S1	OP3Div3	35.2	31.0	FRAGMENT_LARGE
OTU15705	S1	OP3Div3	35.2	29.6	FRAGMENT_LARGE
OTU2493	S1	OP3Div3	34.7	30.7	FRAGMENT_LARGE
OTU1617	S1	OP3Div3	34.6	29.5	FRAGMENT_LARGE
OTU17119	S1	OP3Div3	34.7	30.4	FRAGMENT_LARGE
OTU17120	S1	OP3Div3	38.6	32.3	FRAGMENT_LARGE
OTU7661	S1	OP3Div3	34.8	27.9	FRAGMENT_LARGE
OTU15080	S1	OP3Div3	38.3	32.1	FRAGMENT_LARGE
OTU3478	S1	OP3Div3	38.8	31.4	FRAGMENT_LARGE
OTU981	S1	OP3Div3	37.1	29.3	FRAGMENT_LARGE
OTU16316	S1	OP3Div3	36.3	29.9	FRAGMENT_LARGE
OTU21281	S1	OP3Div3	39.4	31.3	FRAGMENT_LARGE
OTU330	S1	OP3Div3	39.4	31.3	FRAGMENT_LARGE
OTU2485	S1	OP3Div3	38.9	30.0	FRAGMENT_LARGE
OTU3522	S1	OP3Div3	37.7	28.9	FRAGMENT_LARGE
OTU6282	S1	OP3Div3	38.1	31.5	FRAGMENT_LARGE
OTU17851	S1	OP3Div3	39.4	31.4	FRAGMENT_LARGE
OTU5851	S1	OP3Div3	38.9	31.7	FRAGMENT_LARGE
OTU12832	S1	OP3Div3	37.9	29.8	FRAGMENT_LARGE
OTU18825	S1	OP3Div3	35.2	31.3	FRAGMENT_LARGE
OTU9143	S1	OP3Div3	36.2	29.2	FRAGMENT_LARGE
OTU17825	S1	OP3Div3	37.8	30.7	FRAGMENT_LARGE
OTU13060	S1	OP3Div3	38.1	31.1	FRAGMENT_LARGE
OTU3365	S1	OP3Div3	37.3	29.5	FRAGMENT_LARGE
OTU3127	S1	OP3Div3	38.1	29.7	FRAGMENT_LARGE
OTU70	S1	OP3Div3	35.2	28.5	FRAGMENT_LARGE
OTU17196	S1	OP3Div3	33.9	27.8	FRAGMENT_LARGE
OTU8809	S1	OP3Div3	38.1	29.8	FRAGMENT_LARGE
OTU4495	S1	OP3Div3	37.9	29.2	FRAGMENT_LARGE
OTU12857	S1	OP3Div3	37.8	29.6	FRAGMENT_LARGE
OTU9992	S1	OP3Div3	38.3	29.7	FRAGMENT_LARGE
OTU2941	S1	OP3Div3	37.4	30.5	FRAGMENT_LARGE
OTU20837	S1	OP3Div3	39.4	30.7	FRAGMENT_LARGE
OTU18178	S1	OP3Div3	38.1	30.9	FRAGMENT_LARGE
OTU12142	S1	OP3Div3	38.1	30.9	FRAGMENT_LARGE
OTU18739	S1	OP3Div3	38.1	31.1	FRAGMENT_LARGE
OTU1809	S1	OP3Div3	37.4	32.0	FRAGMENT_LARGE
OTU21654	S1	OP3Div3	36.8	30.2	FRAGMENT_LARGE
OTU13290	S1	OP3Div3	38.4	30.0	FRAGMENT_LARGE
OTU14144	S1	OP3Div3	38.3	30.0	FRAGMENT_LARGE
OTU20529	S1	OP3Div3	37.8	30.6	FRAGMENT_LARGE
OTU12847	S1	OP3Div3	34.2	28.4	FRAGMENT_LARGE
OTU4996	S1	OP3Div3	35.1	28.3	FRAGMENT_LARGE
OTU21587	S1	OP3Div3	38.9	30.0	FRAGMENT_LARGE
OTU18574	S1	OP3Div3	39.2	30.9	FRAGMENT_LARGE
OTU11657	S1	OP3Div3	34.7	30.1	FRAGMENT_LARGE
OTU8958	S1	OP3Div3	38.8	30.9	FRAGMENT_LARGE
