#SeqID	Sample	OTU	PercEntropy	PercMaskedBases	OTUComp
OTU7834	S1	OP3Div3	38.0	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14127	S1	OP3Div3	36.6	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU835	S1	OP3Div3	28.3	23.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5569	S1	OP3Div3	37.7	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5258	S1	OP3Div3	36.8	29.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20793	S1	OP3Div3	37.4	30.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16507	S1	OP3Div3	32.2	27.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15231	S1	OP3Div3	38.2	31.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10365	S1	OP3Div3	37.9	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16035	S1	OP3Div3	38.2	31.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7712	S1	OP3Div3	38.2	32.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19167	S1	OP3Div3	38.2	31.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1990	S1	OP3Div3	38.1	31.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13380	S1	OP3Div3	37.9	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19812	S1	OP3Div3	38.1	31.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12732	S1	OP3Div3	37.9	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7120	S1	OP3Div3	37.7	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7237	S1	OP3Div3	39.2	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20019	S1	OP3Div3	29.5	25.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU4669	S1	OP3Div3	37.1	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6496	S1	OP3Div3	36.7	28.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1016	S1	OP3Div3	36.7	28.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11064	S1	OP3Div3	37.1	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8156	S1	OP3Div3	38.0	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18166	S1	OP3Div3	37.2	28.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU17246	S1	OP3Div3	38.4	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13797	S1	OP3Div3	37.0	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU4903	S1	OP3Div3	38.9	30.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14759	S1	OP3Div3	32.7	27.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3132	S1	OP3Div3	38.3	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU4765	S1	OP3Div3	38.3	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU4047	S1	OP3Div3	37.4	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6168	S1	OP3Div3	37.5	29.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3322	S1	OP3Div3	37.0	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6636	S1	OP3Div3	37.5	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10383	S1	OP3Div3	37.4	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3564	S1	OP3Div3	38.5	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19754	S1	OP3Div3	36.9	30.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU2639	S1	OP3Div3	38.5	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20414	S1	OP3Div3	37.6	30.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7618	S1	OP3Div3	29.7	25.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU21740	S1	OP3Div3	38.5	30.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16966	S1	OP3Div3	39.5	32.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU2036	S1	OP3Div3	39.3	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13463	S1	OP3Div3	39.4	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7995	S1	OP3Div3	39.8	32.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3687	S1	OP3Div3	39.6	31.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19802	S1	OP3Div3	35.7	31.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16671	S1	OP3Div3	29.0	24.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20368	S1	OP3Div3	39.4	30.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19787	S1	OP3Div3	37.8	29.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU21758	S1	OP3Div3	35.3	29.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18041	S1	OP3Div3	37.4	29.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8498	S1	OP3Div3	39.1	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20604	S1	OP3Div3	34.6	27.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7265	S1	OP3Div3	38.9	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11394	S1	OP3Div3	38.6	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10611	S1	OP3Div3	39.4	31.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU2904	S1	OP3Div3	38.6	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3359	S1	OP3Div3	38.5	30.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12029	S1	OP3Div3	38.9	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU473	S1	OP3Div3	37.6	29.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11313	S1	OP3Div3	37.6	29.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU255	S1	OP3Div3	29.5	24.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16549	S1	OP3Div3	39.4	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18331	S1	OP3Div3	38.6	30.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8050	S1	OP3Div3	39.0	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU3458	S1	OP3Div3	39.7	31.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU9745	S1	OP3Div3	39.4	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10072	S1	OP3Div3	39.3	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16073	S1	OP3Div3	37.9	29.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11688	S1	OP3Div3	37.4	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6883	S1	OP3Div3	38.3	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8675	S1	OP3Div3	37.6	29.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU9706	S1	OP3Div3	37.3	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13552	S1	OP3Div3	37.3	29.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8461	S1	OP3Div3	38.5	30.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU22110	S1	OP3Div3	37.3	29.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19337	S1	OP3Div3	39.1	30.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12653	S1	OP3Div3	39.1	30.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU9494	S1	OP3Div3	39.1	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6056	S1	OP3Div3	39.4	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1078	S1	OP3Div3	37.6	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14490	S1	OP3Div3	38.5	30.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18500	S1	OP3Div3	37.3	29.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20483	S1	OP3Div3	38.2	29.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10712	S1	OP3Div3	39.0	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU2646	S1	OP3Div3	39.5	31.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18986	S1	OP3Div3	36.7	28.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11598	S1	OP3Div3	29.0	24.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU17042	S1	OP3Div3	39.1	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11069	S1	OP3Div3	39.2	31.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6576	S1	OP3Div3	37.3	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU71	S1	OP3Div3	38.6	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13704	S1	OP3Div3	38.3	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19918	S1	OP3Div3	38.3	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8293	S1	OP3Div3	39.2	30.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU17385	S1	OP3Div3	39.7	31.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7551	S1	OP3Div3	38.4	32.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU21464	S1	OP3Div3	38.9	31.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19132	S1	OP3Div3	38.9	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU21449	S1	OP3Div3	38.2	31.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16335	S1	OP3Div3	38.0	29.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8736	S1	OP3Div3	37.9	30.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16434	S1	OP3Div3	34.7	28.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14534	S1	OP3Div3	38.6	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15174	S1	OP3Div3	38.6	32.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU29	S1	OP3Div3	36.3	28.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14974	S1	OP3Div3	37.9	31.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14769	S1	OP3Div3	34.2	27.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16425	S1	OP3Div3	37.9	30.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8490	S1	OP3Div3	35.6	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10698	S1	OP3Div3	36.5	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU2267	S1	OP3Div3	38.7	31.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6430	S1	OP3Div3	37.2	29.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5836	S1	OP3Div3	37.6	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6715	S1	OP3Div3	37.5	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12508	S1	OP3Div3	36.8	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU17715	S1	OP3Div3	38.6	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8770	S1	OP3Div3	37.6	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU584	S1	OP3Div3	37.2	29.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18496	S1	OP3Div3	31.4	26.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU517	S1	OP3Div3	39.1	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20517	S1	OP3Div3	38.3	30.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5609	S1	OP3Div3	37.3	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20783	S1	OP3Div3	32.5	27.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10404	S1	OP3Div3	36.5	28.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18333	S1	OP3Div3	37.3	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5267	S1	OP3Div3	35.4	28.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15279	S1	OP3Div3	38.5	30.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6462	S1	OP3Div3	38.0	29.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11213	S1	OP3Div3	37.9	30.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8052	S1	OP3Div3	28.6	23.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14205	S1	OP3Div3	37.5	30.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10682	S1	OP3Div3	36.0	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13148	S1	OP3Div3	38.2	32.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7200	S1	OP3Div3	24.6	15.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6940	S1	OP3Div3	38.8	30.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10446	S1	OP3Div3	37.9	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10114	S1	OP3Div3	38.0	30.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU21730	S1	OP3Div3	36.8	28.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18426	S1	OP3Div3	38.9	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18279	S1	OP3Div3	30.9	26.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11365	S1	OP3Div3	34.4	27.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU4106	S1	OP3Div3	38.2	29.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6732	S1	OP3Div3	37.0	29.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20757	S1	OP3Div3	37.1	29.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15676	S1	OP3Div3	38.9	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13501	S1	OP3Div3	39.3	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5526	S1	OP3Div3	38.2	29.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1366	S1	OP3Div3	39.4	30.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6294	S1	OP3Div3	37.5	29.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13377	S1	OP3Div3	39.4	31.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13349	S1	OP3Div3	29.4	24.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20441	S1	OP3Div3	39.2	30.7	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU9586	S1	OP3Div3	39.2	30.9	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14810	S1	OP3Div3	39.8	32.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11907	S1	OP3Div3	39.1	31.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1811	S1	OP3Div3	37.9	29.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15885	S1	OP3Div3	37.7	30.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU5775	S1	OP3Div3	37.4	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14229	S1	OP3Div3	29.5	25.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10861	S1	OP3Div3	29.5	24.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11189	S1	OP3Div3	37.2	31.1	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU21635	S1	OP3Div3	37.3	31.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13678	S1	OP3Div3	37.7	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12517	S1	OP3Div3	30.9	26.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11879	S1	OP3Div3	38.6	31.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19202	S1	OP3Div3	29.6	25.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11851	S1	OP3Div3	37.6	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20465	S1	OP3Div3	38.2	31.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19200	S1	OP3Div3	38.2	31.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13905	S1	OP3Div3	38.2	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU4569	S1	OP3Div3	37.9	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU8439	S1	OP3Div3	38.3	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19852	S1	OP3Div3	29.6	25.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1007	S1	OP3Div3	37.4	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU16069	S1	OP3Div3	37.3	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU14538	S1	OP3Div3	36.4	29.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU15640	S1	OP3Div3	37.9	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12713	S1	OP3Div3	29.5	25.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU7770	S1	OP3Div3	37.9	30.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20174	S1	OP3Div3	37.9	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13227	S1	OP3Div3	35.8	28.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11316	S1	OP3Div3	31.4	26.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU580	S1	OP3Div3	37.1	29.8	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU13914	S1	OP3Div3	37.6	30.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU591	S1	OP3Div3	36.3	29.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18895	S1	OP3Div3	38.2	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20655	S1	OP3Div3	35.6	28.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU10261	S1	OP3Div3	37.8	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20426	S1	OP3Div3	37.2	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU11507	S1	OP3Div3	37.2	29.6	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12969	S1	OP3Div3	37.8	30.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU18175	S1	OP3Div3	36.6	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU12798	S1	OP3Div3	36.6	29.3	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6226	S1	OP3Div3	37.7	31.5	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU20735	S1	OP3Div3	37.9	31.4	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU6082	S1	OP3Div3	29.6	25.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU19366	S1	OP3Div3	36.6	31.0	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1045	S1	OP3Div3	29.6	25.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
OTU1255	S1	OP3Div3	27.5	22.2	[["USR", 363], ["OP3Div3", 15], ["OP3Div6", 1]]
